id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01,01,203749,69825,231,69594,46901,22693,0.3427010684715017,0.0033082706766917294,0.9966917293233083,0.6716935195130684,0.3249982098102399
02,02,167107,67732,228,67504,51978,15526,0.40532114154404064,0.0033662079962203982,0.9966337920037796,0.7674068387172975,0.22922695328648202
03,03,280437,113460,309,113151,65448,47703,0.40458284748446177,0.0027234267583289267,0.9972765732416711,0.5768376520359598,0.42043892120571125
04,04,214001,79974,316,79658,43162,36496,0.37370853407227067,0.00395128416735439,0.9960487158326456,0.5397004026308551,0.4563483132017906
05,05,156901,44995,143,44852,16090,28762,0.2867731881887305,0.003178130903433715,0.9968218690965663,0.3575952883653739,0.6392265807311923
06,06,214038,87447,363,87084,40228,46856,0.40855829338715555,0.004151085800542043,0.995848914199458,0.460027216485414,0.535821697714044
07,07,228135,87498,386,87112,45500,41612,0.38353606417252945,0.004411529406386431,0.9955884705936136,0.5200118859859654,0.4755765846076482
08,08,192951,65133,247,64886,34825,30061,0.3375623863053314,0.003792240492530668,0.9962077595074693,0.534675203046075,0.4615325564613944
09,09,205651,74462,231,74231,32311,41920,0.3620794452737891,0.0031022534984287285,0.9968977465015713,0.4339260293841154,0.5629717171174559
10,10,196856,57379,115,57264,16260,41004,0.29147701873450643,0.002004217570888304,0.9979957824291117,0.2833789365447289,0.7146168458843828
11,11,197156,63309,177,63132,29169,33963,0.32111120128223336,0.002795811022129555,0.9972041889778704,0.46074017912145193,0.5364640098564185
12,12,173091,57356,202,57154,20156,36998,0.3313632713428197,0.003521863449333984,0.996478136550666,0.3514192063602762,0.6450589301903898
